date,n,daily_acc,rolling_acc,rolling_f1
2025-07-21,25,0.72,0.6190476190476191,0.3400545878152939
2025-07-22,25,0.76,0.6495238095238095,0.34094712791419135
2025-07-23,25,0.64,0.6476190476190476,0.34871392880912944
2025-07-24,25,0.64,0.6514285714285715,0.3405909239050738
2025-07-25,25,0.52,0.6514285714285715,0.34555416200276007
2025-07-28,25,0.44,0.6438095238095238,0.34175404557030764
2025-07-29,25,0.6,0.6457142857142857,0.34467448392073163
2025-07-30,25,0.12,0.6285714285714286,0.33467870405457867
2025-07-31,25,0.56,0.6190476190476191,0.350628865240036
2025-08-01,25,0.32,0.6019047619047619,0.34721793087165415
2025-08-04,25,0.64,0.5942857142857143,0.35499907981353956
2025-08-05,25,0.52,0.580952380952381,0.3545940441745324
2025-08-06,25,0.48,0.5752380952380953,0.3528786806444902
2025-08-07,25,0.4,0.5657142857142856,0.3468665282618771
2025-08-08,25,0.44,0.5619047619047619,0.35697252956810116
2025-08-11,25,0.48,0.5523809523809524,0.35297134290422877
2025-08-12,25,0.72,0.5561904761904761,0.35769706261509543
2025-08-13,25,0.6,0.5542857142857143,0.3510072861636717
2025-08-14,25,0.28,0.5314285714285715,0.34561703007233247
2025-08-18,25,0.56,0.5276190476190477,0.3443341300745637
2025-08-19,25,0.64,0.5276190476190477,0.34797208491604176
2025-08-20,25,0.72,0.5276190476190477,0.3536511984684901
2025-08-21,25,0.68,0.5238095238095238,0.36403972629475195
2025-08-22,25,0.64,0.5238095238095238,0.3601412474396963
2025-08-25,25,0.4,0.5123809523809524,0.35610511040351933
2025-08-26,25,0.68,0.5200000000000001,0.37364963174256594
2025-08-28,25,0.44,0.52,0.3795139853255029
2025-08-29,25,0.72,0.5257142857142857,0.3826679796501673
2025-09-01,25,0.4,0.5390476190476191,0.3776607260891363
2025-09-02,25,0.48,0.5352380952380953,0.3721029871969592
2025-09-03,25,0.56,0.5466666666666666,0.3693093852274287
2025-09-04,25,0.32,0.5314285714285715,0.3628435214875893
2025-09-05,25,0.6,0.5352380952380953,0.35963023861588095
2025-09-08,25,0.88,0.5542857142857143,0.366687167686417
2025-09-09,25,0.64,0.5657142857142857,0.3669368637643491
2025-09-10,25,0.8,0.5828571428571429,0.3796815283738526
2025-09-11,25,0.84,0.6000000000000001,0.37057621821083203
2025-09-12,25,0.84,0.6057142857142858,0.37201284197501433
2025-09-15,25,0.72,0.6114285714285714,0.3739769512160637
2025-09-16,25,0.72,0.6323809523809524,0.37533609686341746
2025-09-17,25,0.76,0.641904761904762,0.37865888741293413
2025-09-18,25,0.6,0.64,0.3834934176154779
2025-09-19,25,0.68,0.638095238095238,0.37488288966519656
2025-09-22,25,0.44,0.6266666666666667,0.37471443818193045
2025-09-23,25,0.72,0.6304761904761904,0.3755807038996098
2025-09-24,25,0.4,0.6304761904761905,0.37347978690390754
2025-09-25,25,0.32,0.6133333333333333,0.39112735767382184
2025-09-26,25,0.24,0.6038095238095238,0.3927793207761363
2025-09-29,25,0.52,0.5942857142857143,0.3873724157064893
2025-09-30,25,0.24,0.5866666666666667,0.37468315675552516
2025-10-01,25,0.52,0.5885714285714285,0.36687682504375285
2025-10-03,25,0.44,0.5828571428571429,0.3517506231089835
2025-10-06,25,0.48,0.5904761904761904,0.3561429894576961
2025-10-07,25,0.32,0.5771428571428571,0.32881133420484
2025-10-08,25,0.6,0.5638095238095238,0.3289521859846058
2025-10-09,25,0.56,0.5599999999999999,0.31428688697683543
2025-10-10,25,0.68,0.5542857142857143,0.30228280706221883
2025-10-13,25,0.4,0.5333333333333333,0.3021673669467787
2025-10-14,25,0.64,0.5238095238095238,0.3087261904761905
2025-10-15,25,0.64,0.52,0.31206012162773894
2025-10-16,25,0.44,0.5066666666666667,0.3213734508121097
2025-10-17,25,0.56,0.4971428571428572,0.33034082319796604
2025-10-20,25,0.8,0.5066666666666667,0.33320220602414286
2025-10-21,25,0.2,0.4838095238095239,0.327482311136352
2025-10-23,25,0.52,0.4876190476190476,0.32965924645591527
2025-10-24,25,0.56,0.4800000000000001,0.33056667961656533
2025-10-27,25,0.2,0.4704761904761905,0.32157255305666604
2025-10-28,25,0.52,0.48,0.31964714939411093
2025-10-29,25,0.6,0.4971428571428571,0.3198941124254299
2025-10-30,25,0.64,0.5028571428571429,0.3257244218938345
2025-10-31,25,0.48,0.5142857142857143,0.326399548708516
2025-11-03,25,0.44,0.5104761904761905,0.3304408974030779
2025-11-04,25,0.44,0.5104761904761904,0.3356557552430946
2025-11-06,25,0.44,0.5085714285714287,0.3393414886697781
2025-11-07,25,0.24,0.5047619047619047,0.3311610516898343
2025-11-10,25,0.4,0.49523809523809526,0.3286833701566567
2025-11-11,25,0.52,0.4933333333333333,0.3352359208523592
2025-11-12,25,0.52,0.48571428571428577,0.339027148067617
2025-11-13,25,0.72,0.5009523809523809,0.3462949665024329
2025-11-14,25,0.68,0.5028571428571429,0.35227568681953936
